,Player,Eligible,Position,Hall_of_Fame,MVP,Finals_MVP,NBA_Champ,All_NBA,All_Defensive,Def_POY,All_Star,Scoring_Champ,TRB_Champ,AST_Champ,STL_Champ,BLK_Champ,All_ABA,ABA_Champ,ROY,MP_per_game,FG_per_game,FGA_per_game,3P_per_game,3PA_per_game,2P_per_game,2PA_per_game,FT_per_game,FTA_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,PTS_per_game,MP_totals,G_totals,GS_totals,FG_totals,FGA_totals,FG%_totals,3P_totals,3PA_totals,3P%_totals,2P_totals,2PA_totals,2P%_totals,eFG%_totals,FT_totals,FTA_totals,FT%_totals,ORB_totals,DRB_totals,TRB_totals,AST_totals,STL_totals,BLK_totals,PTS_totals,Trp_Dbl_totals,pts_per_g_seasonal,mvp_shares_seasonal,trb_per_g_seasonal,ast_per_g_seasonal,ws_seasonal,accum_mvp_shares_seasonal,PER_advanced,TS%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,peak_ws_advanced
0,Alaa Abdelnaby,1,PowerForward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,2.4,4.8,0.0,0.0,2.4,4.8,0.9,1.3,1.1,2.2,3.3,0.3,0.3,0.3,5.7,3200,256,53,620,1236,.502,0,3,.000,620,1233,.503,.502,225,321,.701,283,563,846,85,71,69,1465,-999,0.0,0.0,0.0,0.0,0.0,0.0,13.0,.532,0.7,4.1,4.8,.072,-2.9,-0.9,-3.8,-1.5,2.1
1,Zaid Abdul-Aziz,1,Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,3.5,8.2,-999,-999,-999,-999,2.0,2.8,2.4,5.4,8.0,1.2,0.6,1.0,9.0,11023,505,,1769,4138,.428,-999,-999,-999,-999,-999,-999,-999,1019,1400,.728,503,1124,4065,601,131,205,4557,-999,0.0,0.0,0.0,0.0,0.0,0.0,15.1,.479,5.9,11.6,17.5,.076,0.6,-0.2,0.4,2.7,6.5
2,Kareem Abdul-Jabbar,1,Center,1,6,2,6,15,11,0,19,2,1,0,0,4,0,0,1,36.8,10.2,18.1,0.0,0.0,10.2,18.1,4.3,6.0,2.4,7.6,11.2,3.6,0.9,2.6,24.6,57446,1560,625,15837,28307,.559,1,18,.056,15836,28289,.560,.559,6712,9304,.721,2975,9394,17440,5660,1160,3189,38387,21,98.0,127.0,81.0,0.0,126.0,6.103999999999999,24.6,.592,178.9,94.5,273.4,.228,4.1,1.6,5.7,85.7,25.4
3,Mahmoud Abdul-Rauf,1,PointGuard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,6.0,13.6,0.8,2.3,5.2,11.3,1.8,2.0,0.4,1.5,1.9,3.5,0.8,0.1,14.6,15628,586,336,3514,7943,.442,474,1339,.354,3040,6604,.460,.472,1051,1161,.905,219,868,1087,2079,487,46,8553,-999,0.0,0.0,0.0,0.0,0.0,0.0,15.4,.506,16.7,8.4,25.2,.077,0.7,-1.5,-0.8,4.5,6.8
4,Tariq Abdul-Wahad,1,ShootingGuard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,3.1,7.3,0.1,0.3,3.0,7.0,1.6,2.2,1.2,2.1,3.3,1.1,0.8,0.4,7.8,4807,236,145,720,1726,.417,18,76,.237,702,1650,.425,.422,372,529,.703,286,490,776,266,184,83,1830,-999,0.0,0.0,0.0,0.0,0.0,0.0,11.4,.467,-0.6,4.1,3.5,.035,-2.6,-0.4,-3.0,-1.2,2.2
5,Shareef Abdur-Rahim,1,PowerForward,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.8,6.5,13.9,0.2,0.6,6.4,13.2,4.8,6.0,2.3,5.3,7.5,2.5,1.0,0.8,18.1,28882,830,704,5434,11515,.472,154,519,.297,5280,10996,.480,.479,4006,4943,.810,1869,4370,6239,2109,820,638,15028,1,12.0,0.0,5.0,0.0,0.0,0.0,19.0,.549,50.1,21.1,71.2,.118,1.7,-0.7,1.0,21.9,9.7
6,Tom Abernethy,1,SmallForward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,2.3,4.6,0.0,0.0,2.3,4.6,1.0,1.4,1.2,2.0,3.2,1.2,0.6,0.2,5.6,5434,319,,724,1472,.492,0,2,.000,724,1470,.493,.492,331,443,.747,374,637,1011,384,185,60,1779,-999,0.0,0.0,0.0,0.0,0.0,0.0,12.9,.534,8.4,5.0,13.4,.118,0.0,0.1,0.2,3.0,4.1
7,Forest Able,1,Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2.0,-999,-999,-999,-999,0.0,0.0,-999,-999,1.0,1.0,-999,-999,0.0,1,1,,0,2,.000,-999,-999,-999,-999,-999,-999,-999,0,0,,-999,-999,1,1,-999,-999,0,-999,0.0,0.0,0.0,0.0,0.0,0.0,-41.5,.000,0.0,0.0,0.0,-2.062,-999,-999,-999,-999,0.0
8,John Abramovic,1,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.6,15.3,-999,-999,-999,-999,2.3,3.3,-999,-999,,0.7,-999,-999,9.5,,56,,203,855,.237,-999,-999,-999,-999,-999,-999,-999,127,185,.686,-999,-999,,37,-999,-999,533,-999,0.0,0.0,0.0,0.0,0.0,0.0,,.285,-1.4,-0.5,-1.9,,-999,-999,-999,-999,-0.1
9,Álex Abrines,0,ShootingGuard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,1.8,4.5,1.3,3.4,0.5,1.1,0.5,0.6,0.3,1.1,1.4,0.5,0.5,0.1,5.3,2777,174,16,305,789,.387,219,595,.368,86,194,.443,.525,95,108,.880,49,199,248,88,92,22,924,-999,0.0,0.0,0.0,0.0,0.0,0.0,8.8,.552,2.5,2.5,5.0,.086,-2.1,0.1,-1.9,0.1,2.2
